F701Drv,,,,,
ID,标签名,描述,单位,类型,备注
ID_0002_JZ,CP_0002_JZ,轻小0#机_2#称净重,kg,float32,
ID_0002_CNT,CP_0002_CNT,轻小0#机_2#称袋数,d,int32,
ID_0002_SD,CP_0002_SD,轻小0#机_2#称设定值,kg,float32,
ID_0003_JZ,CP_0003_JZ,轻小2#机_1#称净重,kg,float32,
ID_0003_CNT,CP_0003_CNT,轻小2#机_1#称袋数,d,int32,
ID_0003_SD,CP_0003_SD,轻小2#机_1#称设定值,kg,float32,
ID_0004_JZ,CP_0004_JZ,轻小2#机_2#称净重,kg,float32,
ID_0004_CNT,CP_0004_CNT,轻小2#机_2#称袋数,d,int32,
ID_0004_SD,CP_0004_SD,轻小2#机_2#称设定值,kg,float32,
ID_0005_JZ,CP_0005_JZ,轻小2#机_3#称净重,kg,float32,
ID_0005_CNT,CP_0005_CNT,轻小2#机_3#称袋数,d,int32,
ID_0005_SD,CP_0005_SD,轻小2#机_3#称设定值,kg,float32,
ID_0006_JZ,CP_0006_JZ,轻小3#机_1#称净重,kg,float32,
ID_0006_CNT,CP_0006_CNT,轻小3#机_1#称袋数,d,int32,
ID_0006_SD,CP_0006_SD,轻小3#机_1#称设定值,kg,float32,
ID_0007_JZ,CP_0007_JZ,轻小3#机_2#称净重,kg,float32,
ID_0007_CNT,CP_0007_CNT,轻小3#机_2#称袋数,d,int32,
ID_0007_SD,CP_0007_SD,轻小3#机_2#称设定值,kg,float32,
ID_0008_JZ,CP_0008_JZ,轻小3#机_3#称净重,kg,float32,
ID_0008_CNT,CP_0008_CNT,轻小3#机_3#称袋数,d,int32,
ID_0008_SD,CP_0008_SD,轻小3#机_3#称设定值,kg,float32,
