IO_Tags,,,,,,,,
标签名,目标服务器标签名,描述,单位,类型,驱动标签名,压缩方式,压缩精度,采集值-工程值转换
ID_0013_JZ,CP_0013_JZ,轻小6#机_1#秤净重,kg,float32,,,,
ID_0013_CNT,CP_0013_CNT,轻小6#机_1#秤袋数,d,int32,,,,
ID_0013_SD,CP_0013_SD,轻小6#机_1#秤设定值,kg,float32,,,,
ID_0014_JZ,CP_0014_JZ,轻小6#机_2#秤净重,kg,float32,,,,
ID_0014_CNT,CP_0014_CNT,轻小6#机_2#秤袋数,d,int32,,,,
ID_0014_SD,CP_0014_SD,轻小6#机_2#秤设定值,kg,float32,,,,
ID_0017_JZ,CP_0017_JZ,重小6#机_1#秤净重,kg,float32,,,,
ID_0017_CNT,CP_0017_CNT,重小6#机_1#秤袋数,d,int32,,,,
ID_0017_SD,CP_0017_SD,重小6#机_1#秤设定值,kg,float32,,,,
ID_0018_JZ,CP_0018_JZ,重小6#机_2#秤净重,kg,float32,,,,
ID_0018_CNT,CP_0018_CNT,重小6#机_2#秤袋数,d,int32,,,,
ID_0018_SD,CP_0018_SD,重小6#机_2#秤设定值,kg,float32,,,,
